"Mandatory fields missing from font descriptor dictionary",4847
"Error in font descriptor",4491
"Mandatory fields missing from font dictionary",4194
"Width array and font program width inconsistent",2620
"Missing CIDSet entry in subset of composite font",1269
"Encoding inconsistent with font",1108
"Preflight exception",992
"Invalid CIDToGID",932
"Charset declaration missing in Type 1 subset",860
"Missing glyph",479
"Embedded file(s)",140
"Encryption",126
"JavaScript",56
"Damaged embedded TrueType font",56
"Damaged embedded Type1 font",16
"Mandatory element missing (possibly malformed PDF)",16
"Unknown error",13
"Required entry missing in composite font dictionary",9
"Damaged embedded composite font",4
"Movie annotation",1
"Movie action",1
"Screen annotation",1
"Damaged embedded type 3 font",1
"Undefined action (e.g. Rendition)",1
