2.4.3,12136
7.1,8029
2.4.1,5961
1.2.1,5809
1.4.6,5166
1.2.5,4934
3.1.2,4847
7.11,4808
3.1.3,4491
3.1.1,4194
3.1.6,2620
2.4.2,1976
5.2.2,1953
1.2.2,1811
1.2.12,1475
1.4.1,1393
3.1.11,1269
1.1,1229
1.2.7,1181
3.1.5,1108
2.3,1018
Exception,992
3.1.9,932
3.1.4,860
7.2,741
7.3,636
2.3.2,630
7.1.1,494
3.3.1,464
1.4.8,391
2.2.2,353
1.0.14,316
2.2.1,239
1.4.10,233
5.2.3,221
1.0.6,175
5.3.1,156
1.4.7,137
6.2.5,137
4.1.2,136
1.2.9,135
1.4.2,126
1.0,109
1.0.12,92
5.2.5,77
6.2.3,76
2.1.7,74
4.1.3,72
6.2.2,64
3.2.2,56
4.1.1,51
6.2.4,50
6.2.1,45
1.3,45
5.2.6,44
2.4.11,35
5.2.1,24
1.4.9,17
2.1.3,17
8.1,16
3.2.1,16
3.3.2,15
-1,13
3.1.7,9
1.2.10,9
1.0.1,7
1.2.3,6
6.1.3,5
1.0.2,4
3.2.3,4
6.1.1,2
2.4.4,2
5.1,2
1.2.11,1
1.0.3,1
6.2.6,1
3.2.4,1
2.1.8,1
